#timestamp	accel_x	accel_y	accel_z	accel_mag	temperature	mag_x	mag_y	mag_z	azimuth	pitch	roll
1276778270044	-9.80665	19.57244	11.536434	14.938856	0.0	15.125	-45.6875	27.875	2.9944918	0.48499417	0.4644823
1276778270084	-7.6546354	18.196785	8.662541	11.751551	0.0	11.0625	-46.9375	29.625	2.9702048	0.41350478	0.39818776
1276778270124	-2.4516625	10.651112	1.5390993	1.2308159	0.0	8.8125	-47.9375	30.125	3.082539	0.13989908	0.22623841
1276778270164	-1.879608	8.894087	-0.53119355	-0.7006149	0.0	8.8125	-48.4375	28.875	3.087969	-0.058367368	0.2082679
1276778270194	-2.7240696	8.281172	0.92618364	-1.0398846	0.0	9.5625	-48.1875	27.875	2.9618194	0.105844654	0.317798
1276778270234	-2.1792557	8.499097	3.5276701	-0.34999847	0.0	9.8125	-48.1875	28.125	3.086184	0.38227892	0.2510027
1276778270274	-1.920469	8.853226	4.5219555	0.3183632	0.0	9.8125	-47.9375	29.375	3.1296906	0.46297544	0.21361355
1276778270314	-1.7297841	8.962189	2.7649305	-0.26946926	0.0	9.5625	-48.4375	30.625	-3.1367846	0.2941335	0.1906646
1276778270354	-1.9477097	9.084772	1.3756552	-0.41414928	0.0	9.3125	-48.4375	30.625	3.1136575	0.14699191	0.21119572
1276778270384	-2.1111538	8.430995	0.88532263	-1.0703783	0.0	9.3125	-48.4375	30.375	3.0641525	0.101512976	0.24535874
1276778270414	-1.8387469	7.9679036	1.1441092	-1.5496855	0.0	9.3125	-48.1875	29.625	3.0928867	0.1390102	0.22679883
1276778270454	-1.525479	8.049625	2.070293	-1.356226	0.0	9.8125	-47.6875	29.625	-3.1228557	0.24751224	0.1872883
1276778270494	-1.7570249	8.62168	2.3018389	-0.71165276	0.0	10.0625	-47.6875	30.375	-3.133509	0.2558713	0.20103854
1276778270534	-2.3426998	8.853226	1.7570249	-0.48168468	0.0	10.0625	-47.6875	30.375	-3.133509	0.2558713	0.20103854
1276778270564	-2.2609777	9.00305	1.6480621	-0.37887	0.0	9.8125	-47.9375	31.125	3.0865536	0.17571191	0.24604629
1276778270604	-1.6889231	9.112013	1.6889231	-0.38679314	0.0	9.0625	-47.9375	31.125	-3.1371663	0.1802687	0.1832714
1276778270634	-1.4165162	9.084772	1.6889231	-0.4582777	0.0	8.3125	-47.9375	30.875	-3.1204498	0.18166246	0.15467657
